user,category,rating
3,American (New),19
3,Wine Bars,6
3,Vegetarian,1
3,Soul Food,6
3,Sushi Bars,2
3,Latin American,3
3,Vegan,1
3,Pubs,15
3,British,3
3,Irish,3
3,Gastropubs,3
3,Breweries,12
3,Southern,3
3,Scandinavian,3
352,American (New),25
352,Wine Bars,11
352,Soul Food,9
352,Sushi Bars,5
352,Latin American,3
352,Vegan,3
352,Pubs,19
352,British,6
352,Climbing,3
352,Zoos,3
352,Irish,9
352,Gastropubs,1
352,Breweries,7
352,African,3
352,Southern,3
352,Airports,3
352,Ethiopian,3
535,American (New),27
535,Wine Bars,12
535,Vegetarian,6
535,Soul Food,3
535,Sushi Bars,10
535,Vegan,3
535,Pubs,13
535,British,6
535,Szechuan,3
535,Irish,4
535,Breweries,13
535,Southern,3
535,Airports,1
535,Fondue,3
659,American (New),25
659,Wine Bars,3
659,Vegetarian,3
659,Soul Food,3
659,Latin American,3
659,Pubs,10
659,British,3
659,Climbing,3
659,Irish,3
659,Breweries,3
659,Southern,3
659,Airports,1
876,American (New),13
876,German,1
876,Wine Bars,3
876,Vegetarian,1
876,Soul Food,6
876,Sushi Bars,3
876,Pubs,7
876,Irish,3
876,Breweries,9
876,Southern,6
959,American (New),41
959,Wine Bars,12
959,Vegetarian,6
959,Soul Food,1
959,Sushi Bars,8
959,Latin American,3
959,Vegan,1
959,Pubs,3
959,Botanical Gardens,3
959,Irish,3
959,Gastropubs,6
959,Southern,1
959,Airports,3
959,Modern European,3
959,Tapas/Small Plates,3
959,Brasseries,3
1135,American (New),15
1135,Vegetarian,1
1135,Sushi Bars,1
1135,Latin American,1
1135,Pubs,9
1135,British,3
1135,Climbing,2
1135,Irish,3
1135,Breweries,6
1135,Tapas/Small Plates,3
1284,American (New),61
1284,German,3
1284,Wine Bars,19
1284,Vegetarian,11
1284,Soul Food,2
1284,Sushi Bars,17
1284,Latin American,5
1284,Vegan,13
1284,Pubs,5
1284,British,3
1284,Botanical Gardens,1
1284,Irish,1
1284,Gastropubs,7
1284,Breweries,2
1284,African,1
1284,Southern,3
1284,Airports,3
1284,Modern European,1
1284,Ethiopian,1
1284,Tapas/Small Plates,6
1284,Brasseries,1
1463,American (New),5
1463,Wine Bars,3
1463,Soul Food,3
1463,Sushi Bars,8
1463,Latin American,1
1463,Pubs,8
1463,British,3
1463,Irish,1
1463,Breweries,1
1463,Southern,3
1607,American (New),25
1607,German,10
1607,Wine Bars,3
1607,Vegetarian,3
1607,Sushi Bars,3
1607,Latin American,2
1607,Pubs,13
1607,British,6
1607,Irish,1
1607,Breweries,17
1607,Scandinavian,3
1718,American (New),19
1718,Wine Bars,15
1718,Vegetarian,3
1718,Sushi Bars,2
1718,Latin American,1
1718,Vegan,3
1718,Pubs,5
1718,Gastropubs,6
1718,Breweries,10
1718,Tapas/Small Plates,3
1742,American (New),21
1742,German,3
1742,Sushi Bars,9
1742,Latin American,6
1742,Vegan,3
1742,Pubs,12
1742,British,3
1742,Breweries,3
1742,African,3
1742,Modern European,6
1742,Ethiopian,3
1742,Piano Bars,3
1742,Fondue,3
1771,American (New),29
1771,German,3
1771,Wine Bars,9
1771,Vegetarian,9
1771,Sushi Bars,19
1771,Pubs,3
1771,British,6
1771,Irish,3
1771,Breweries,1
1771,Tapas/Small Plates,3
1818,American (New),15
1818,Wine Bars,7
1818,Vegetarian,6
1818,Soul Food,1
1818,Sushi Bars,11
1818,Vegan,1
1818,Pubs,9
1818,British,3
1818,Botanical Gardens,3
1818,Irish,3
1818,Southern,1
1818,Airports,3
1818,Tapas/Small Plates,3
2160,American (New),15
2160,Wine Bars,10
2160,Vegetarian,5
2160,Sushi Bars,6
2160,Latin American,1
2160,Vegan,3
2160,Pubs,1
2160,Szechuan,2
2160,Gastropubs,1
2160,Southern,1
2160,Tapas/Small Plates,3
2160,Scandinavian,1
2187,American (New),13
2187,Wine Bars,3
2187,Vegetarian,3
2187,Soul Food,3
2187,Sushi Bars,4
2187,Latin American,3
2187,Vegan,3
2187,Southern,3
2187,Airports,3
2187,Fondue,1
2297,American (New),37
2297,German,3
2297,Wine Bars,17
2297,Vegetarian,9
2297,Soul Food,3
2297,Sushi Bars,12
2297,Latin American,9
2297,Vegan,6
2297,Pubs,19
2297,British,3
2297,Climbing,3
2297,Irish,4
2297,Breweries,6
2297,Southern,3
2297,Airports,3
2297,Ethiopian,3
2297,Fondue,1
2389,American (New),21
2389,Wine Bars,6
2389,Vegetarian,9
2389,Soul Food,6
2389,Sushi Bars,1
2389,Latin American,6
2389,Pubs,1
2389,British,3
2389,Breweries,1
2389,Southern,3
2389,Tapas/Small Plates,3
2445,American (New),39
2445,German,3
2445,Wine Bars,10
2445,Vegetarian,9
2445,Sushi Bars,1
2445,Latin American,3
2445,Pubs,9
2445,Gastropubs,3
2445,Airports,3
2445,Tapas/Small Plates,3
2445,Food Court,1
2654,American (New),4
2654,Wine Bars,3
2654,Vegetarian,6
2654,Sushi Bars,3
2654,Vegan,6
2654,Pubs,9
2654,British,6
2654,Irish,3
2654,Breweries,3
2654,Ethiopian,3
3171,American (New),21
3171,German,3
3171,Wine Bars,7
3171,Vegetarian,7
3171,Soul Food,3
3171,Sushi Bars,3
3171,Latin American,4
3171,Pubs,11
3171,British,3
3171,Breweries,3
3171,Southern,4
3622,American (New),27
3622,Wine Bars,9
3622,Vegetarian,6
3622,Soul Food,3
3622,Sushi Bars,10
3622,Latin American,3
3622,Botanical Gardens,3
3622,Zoos,3
3622,Gastropubs,3
3622,Breweries,2
3622,Southern,4
3622,Tapas/Small Plates,3
3665,American (New),33
3665,German,3
3665,Wine Bars,7
3665,Sushi Bars,3
3665,Latin American,4
3665,Vegan,3
3665,Pubs,3
3665,Gastropubs,3
3665,Breweries,6
3665,Airports,1
3665,Food Court,3
3703,American (New),33
3703,German,3
3703,Wine Bars,3
3703,Vegetarian,15
3703,Sushi Bars,11
3703,Vegan,17
3703,Pubs,7
3703,Szechuan,3
3703,Gastropubs,9
3703,Breweries,1
3703,Southern,1
3703,Cambodian,3
3703,Tapas/Small Plates,3
3789,American (New),21
3789,Wine Bars,3
3789,Vegetarian,2
3789,Sushi Bars,5
3789,Latin American,6
3789,Pubs,7
3789,British,3
3789,Zoos,3
3789,Irish,1
3789,Piano Bars,3
3976,American (New),9
3976,Wine Bars,9
3976,Vegetarian,3
3976,Sushi Bars,6
3976,Latin American,2
3976,Vegan,1
3976,Pubs,3
3976,British,3
3976,Modern European,1
3976,Tapas/Small Plates,3
4210,American (New),27
4210,Wine Bars,4
4210,Vegetarian,3
4210,Soul Food,4
4210,Sushi Bars,6
4210,Pubs,9
4210,Gastropubs,3
4210,Breweries,6
4210,Southern,3
4210,Tapas/Small Plates,3
4233,American (New),4
4233,Latin American,1
4233,Vegan,2
4233,Pubs,7
4233,British,1
4233,Irish,3
4233,Breweries,3
4233,African,1
4233,Southern,1
4233,Ethiopian,1
4654,American (New),53
4654,Wine Bars,12
4654,Vegetarian,12
4654,Soul Food,3
4654,Sushi Bars,9
4654,Latin American,3
4654,Pubs,3
4654,Breweries,9
4654,Southern,3
4654,Modern European,3
4732,American (New),65
4732,Wine Bars,17
4732,Vegetarian,13
4732,Soul Food,7
4732,Sushi Bars,13
4732,Latin American,11
4732,Vegan,11
4732,Pubs,9
4732,British,2
4732,Zoos,1
4732,Irish,2
4732,Gastropubs,7
4732,Breweries,8
4732,African,4
4732,Southern,5
4732,Modern European,3
4732,Ethiopian,3
4732,Cambodian,1
4732,Tapas/Small Plates,6
4732,Scandinavian,3
4732,Food Court,1
4732,Brasseries,3
4979,American (New),11
4979,Wine Bars,3
4979,Vegetarian,4
4979,Soul Food,3
4979,Vegan,3
4979,Pubs,3
4979,British,3
4979,Climbing,3
4979,Southern,3
4979,Modern European,3
5330,American (New),15
5330,Wine Bars,12
5330,Vegetarian,6
5330,Sushi Bars,3
5330,Latin American,3
5330,Vegan,3
5330,Pubs,17
5330,British,3
5330,Irish,3
5330,Gastropubs,3
5330,Breweries,3
5330,Tapas/Small Plates,3
5550,American (New),19
5550,Wine Bars,3
5550,Vegetarian,3
5550,Soul Food,3
5550,Sushi Bars,15
5550,Vegan,2
5550,Pubs,10
5550,British,3
5550,Irish,1
5550,Southern,3
5756,American (New),11
5756,Wine Bars,6
5756,Vegetarian,4
5756,Soul Food,3
5756,Sushi Bars,5
5756,Latin American,3
5756,Vegan,10
5756,Pubs,3
5756,Szechuan,1
5756,Zoos,3
5756,Southern,4
5817,American (New),43
5817,Wine Bars,21
5817,Vegetarian,8
5817,Soul Food,6
5817,Sushi Bars,27
5817,Vegan,3
5817,Pubs,13
5817,British,1
5817,Szechuan,3
5817,Brazilian,3
5817,Zoos,3
5817,Irish,9
5817,Southern,9
5817,Airports,1
5817,Tapas/Small Plates,1
5944,American (New),45
5944,Wine Bars,15
5944,Vegetarian,3
5944,Soul Food,3
5944,Sushi Bars,10
5944,Latin American,6
5944,Vegan,4
5944,Pubs,3
5944,Gastropubs,1
5944,African,1
5944,Southern,3
5944,Ethiopian,4
5944,Piano Bars,3
5944,Fondue,1
5944,Tapas/Small Plates,3
5955,American (New),19
5955,Wine Bars,1
5955,Vegetarian,3
5955,Sushi Bars,2
5955,Latin American,3
5955,Pubs,9
5955,Zoos,3
5955,Irish,3
5955,Breweries,3
5955,Southern,1
6027,American (New),21
6027,Wine Bars,6
6027,Sushi Bars,11
6027,Latin American,7
6027,Vegan,3
6027,Pubs,3
6027,Climbing,3
6027,Botanical Gardens,3
6027,Breweries,3
6027,Tapas/Small Plates,3
6133,American (New),109
6133,German,3
6133,Wine Bars,25
6133,Vegetarian,17
6133,Sushi Bars,13
6133,Latin American,3
6133,Vegan,4
6133,Pubs,15
6133,British,3
6133,Climbing,3
6133,Botanical Gardens,3
6133,Zoos,3
6133,Irish,4
6133,Gastropubs,6
6133,Airports,4
6133,Tapas/Small Plates,6
6133,Food Court,3
6133,Brasseries,3
6279,American (New),5
6279,German,3
6279,Wine Bars,1
6279,Vegetarian,6
6279,Soul Food,1
6279,Sushi Bars,8
6279,Pubs,4
6279,Szechuan,3
6279,Breweries,3
6279,Southern,1
6279,Fondue,3
6322,American (New),25
6322,Wine Bars,11
6322,Vegetarian,3
6322,Soul Food,5
6322,Sushi Bars,9
6322,Latin American,7
6322,Pubs,3
6322,British,3
6322,Gastropubs,1
6322,Southern,5
6322,Airports,1
6498,American (New),31
6498,Wine Bars,21
6498,Vegetarian,7
6498,Sushi Bars,13
6498,Latin American,7
6498,Pubs,13
6498,British,4
6498,Szechuan,3
6498,Zoos,3
6498,Irish,8
6498,Southern,1
6498,Airports,3
6498,Tapas/Small Plates,3
6663,American (New),17
6663,Wine Bars,9
6663,Vegetarian,9
6663,Sushi Bars,19
6663,Latin American,3
6663,Vegan,3
6663,Pubs,3
6663,Brazilian,3
6663,Gastropubs,3
6663,Breweries,3
6663,Tapas/Small Plates,3
6696,American (New),13
6696,Wine Bars,7
6696,Vegetarian,6
6696,Soul Food,7
6696,Sushi Bars,2
6696,Latin American,3
6696,Vegan,6
6696,Pubs,7
6696,British,3
6696,Zoos,1
6696,Irish,3
6696,Breweries,1
6696,Southern,3
6696,Tapas/Small Plates,3
7090,American (New),19
7090,German,3
7090,Vegetarian,1
7090,Sushi Bars,7
7090,Latin American,3
7090,Pubs,7
7090,British,3
7090,Gastropubs,3
7090,Airports,1
7090,Cambodian,3
7090,Tapas/Small Plates,1
7125,American (New),29
7125,German,1
7125,Wine Bars,3
7125,Soul Food,3
7125,Latin American,3
7125,Vegan,3
7125,Pubs,8
7125,British,3
7125,Botanical Gardens,3
7125,Zoos,1
7125,Gastropubs,6
7125,Southern,3
7125,Airports,3
7125,Tapas/Small Plates,3
7125,Brasseries,1
7321,American (New),23
7321,German,3
7321,Wine Bars,7
7321,Vegetarian,4
7321,Sushi Bars,10
7321,Latin American,3
7321,Pubs,6
7321,Climbing,3
7321,Irish,6
7321,Fondue,1
7618,American (New),13
7618,Vegetarian,4
7618,Soul Food,3
7618,Sushi Bars,9
7618,Latin American,5
7618,Vegan,1
7618,Gastropubs,3
7618,Breweries,3
7618,Southern,3
7618,Cambodian,3
8055,American (New),6
8055,Wine Bars,1
8055,Vegetarian,1
8055,Vegan,2
8055,Pubs,7
8055,British,1
8055,Irish,3
8055,Gastropubs,1
8055,Breweries,6
8055,Ethiopian,1
8055,Tapas/Small Plates,1
8184,American (New),53
8184,Wine Bars,9
8184,Vegetarian,13
8184,Soul Food,3
8184,Sushi Bars,7
8184,Latin American,6
8184,Vegan,10
8184,Pubs,17
8184,British,3
8184,Szechuan,3
8184,Botanical Gardens,3
8184,Irish,6
8184,Gastropubs,3
8184,Breweries,3
8184,Southern,3
8339,American (New),43
8339,Wine Bars,4
8339,Vegetarian,11
8339,Soul Food,6
8339,Sushi Bars,13
8339,Latin American,3
8339,Vegan,7
8339,Pubs,13
8339,British,6
8339,Botanical Gardens,3
8339,Brazilian,3
8339,Irish,5
8339,Breweries,13
8339,Southern,9
8339,Fondue,6
8339,Scandinavian,3
8527,American (New),39
8527,German,1
8527,Wine Bars,3
8527,Vegetarian,19
8527,Soul Food,3
8527,Sushi Bars,12
8527,Latin American,4
8527,Vegan,4
8527,Pubs,8
8527,Szechuan,1
8527,Zoos,3
8527,Irish,3
8527,Breweries,1
8527,Southern,7
8909,American (New),25
8909,Wine Bars,7
8909,Vegetarian,4
8909,Sushi Bars,6
8909,Latin American,10
8909,Pubs,9
8909,Szechuan,3
8909,Irish,5
8909,Breweries,5
8909,Piano Bars,3
8909,Tapas/Small Plates,3
8963,American (New),19
8963,Wine Bars,9
8963,Vegetarian,3
8963,Soul Food,3
8963,Latin American,3
8963,Vegan,7
8963,Pubs,12
8963,British,3
8963,Breweries,3
8963,African,1
8963,Ethiopian,1
9031,American (New),19
9031,German,3
9031,Wine Bars,7
9031,Vegetarian,2
9031,Sushi Bars,3
9031,Latin American,3
9031,Pubs,8
9031,British,1
9031,Szechuan,3
9031,Irish,3
9031,Gastropubs,3
9031,Breweries,3
9031,Airports,1
9146,American (New),25
9146,German,3
9146,Wine Bars,13
9146,Vegetarian,8
9146,Soul Food,3
9146,Sushi Bars,7
9146,Vegan,3
9146,Pubs,15
9146,British,10
9146,Climbing,3
9146,Botanical Gardens,3
9146,Irish,7
9146,Breweries,4
9146,Southern,3
9146,Piano Bars,3
9146,Tapas/Small Plates,1
9301,American (New),11
9301,Wine Bars,3
9301,Vegetarian,10
9301,Sushi Bars,7
9301,Vegan,5
9301,Pubs,3
9301,British,3
9301,Climbing,1
9301,African,4
9301,Airports,3
9301,Ethiopian,2
9301,Cambodian,3
9301,Tapas/Small Plates,6
9345,American (New),19
9345,Wine Bars,6
9345,Sushi Bars,5
9345,Pubs,8
9345,British,6
9345,Zoos,1
9345,Irish,2
9345,Gastropubs,12
9345,Breweries,1
9345,Ethiopian,3
9345,Scandinavian,1
9797,American (New),31
9797,German,3
9797,Wine Bars,6
9797,Vegetarian,6
9797,Soul Food,7
9797,Sushi Bars,17
9797,Latin American,6
9797,Vegan,10
9797,Pubs,11
9797,British,5
9797,Botanical Gardens,1
9797,Gastropubs,1
9797,Breweries,7
9797,African,3
9797,Southern,10
9797,Airports,3
9797,Ethiopian,3
9849,American (New),27
9849,Soul Food,6
9849,Sushi Bars,4
9849,Pubs,9
9849,British,3
9849,Irish,3
9849,Gastropubs,7
9849,Breweries,1
9849,Southern,3
9849,Fondue,1
9849,Tapas/Small Plates,3
9849,Food Court,1
10114,American (New),19
10114,Wine Bars,6
10114,Vegetarian,4
10114,Latin American,3
10114,Vegan,3
10114,Pubs,9
10114,Irish,2
10114,Gastropubs,3
10114,Breweries,6
10114,Fondue,3
10142,American (New),29
10142,Vegetarian,6
10142,Soul Food,6
10142,Sushi Bars,13
10142,Latin American,6
10142,Vegan,3
10142,Pubs,9
10142,Zoos,3
10142,Gastropubs,4
10142,Breweries,3
10142,Southern,6
10142,Airports,3
10142,Fondue,3
10142,Cambodian,1
10142,Scandinavian,3
10149,American (New),7
10149,Wine Bars,3
10149,Vegetarian,1
10149,Sushi Bars,4
10149,Latin American,3
10149,Pubs,2
10149,Irish,1
10149,Breweries,2
10149,Piano Bars,3
10149,Tapas/Small Plates,3
10230,American (New),6
10230,Wine Bars,3
10230,Soul Food,3
10230,Sushi Bars,7
10230,Pubs,13
10230,British,3
10230,Zoos,3
10230,Irish,4
10230,Gastropubs,3
10230,Breweries,3
10230,Southern,3
10368,American (New),19
10368,Wine Bars,12
10368,Vegetarian,12
10368,Sushi Bars,15
10368,Vegan,3
10368,Pubs,7
10368,British,3
10368,Climbing,3
10368,Gastropubs,6
10368,Breweries,3
10368,African,3
10368,Southern,1
10368,Airports,3
10368,Ethiopian,3
10368,Tapas/Small Plates,3
10498,American (New),19
10498,Wine Bars,3
10498,Vegetarian,3
10498,Sushi Bars,6
10498,Vegan,1
10498,Pubs,3
10498,Breweries,3
10498,African,1
10498,Airports,3
10498,Ethiopian,1
10556,American (New),43
10556,German,3
10556,Wine Bars,19
10556,Vegetarian,8
10556,Sushi Bars,1
10556,Latin American,15
10556,Pubs,6
10556,British,3
10556,Gastropubs,3
10556,Breweries,4
10556,African,3
10556,Tapas/Small Plates,9
10862,American (New),15
10862,German,3
10862,Wine Bars,9
10862,Vegetarian,5
10862,Soul Food,7
10862,Sushi Bars,10
10862,Vegan,2
10862,Pubs,1
10862,Irish,1
10862,Gastropubs,3
10862,Southern,6
11021,American (New),111
11021,German,9
11021,Wine Bars,23
11021,Vegetarian,15
11021,Soul Food,9
11021,Sushi Bars,27
11021,Latin American,9
11021,Vegan,1
11021,Pubs,29
11021,British,10
11021,Brazilian,3
11021,Zoos,3
11021,Irish,12
11021,Gastropubs,13
11021,Breweries,10
11021,Southern,8
11021,Fondue,3
11021,Tapas/Small Plates,9
11021,Scandinavian,6
11320,American (New),27
11320,Wine Bars,6
11320,Vegetarian,9
11320,Soul Food,3
11320,Sushi Bars,4
11320,Latin American,2
11320,Pubs,4
11320,Gastropubs,1
11320,Ethiopian,3
11320,Tapas/Small Plates,1
11347,American (New),6
11347,German,4
11347,Wine Bars,6
11347,Vegetarian,1
11347,Soul Food,3
11347,Sushi Bars,1
11347,Vegan,3
11347,Pubs,9
11347,British,3
11347,Irish,3
11347,Breweries,7
11347,African,4
11347,Southern,3
11347,Airports,3
11347,Ethiopian,3
11347,Tapas/Small Plates,6
11789,American (New),11
11789,German,3
11789,Wine Bars,9
11789,Vegetarian,4
11789,Soul Food,3
11789,Sushi Bars,1
11789,Latin American,3
11789,Pubs,5
11789,British,3
11789,Gastropubs,1
11789,Breweries,1
11789,Southern,3
11789,Piano Bars,3
11789,Scandinavian,3
11895,American (New),19
11895,Wine Bars,1
11895,Vegetarian,6
11895,Sushi Bars,4
11895,Vegan,3
11895,Pubs,1
11895,British,1
11895,Brazilian,3
11895,Zoos,3
11895,Ethiopian,3
11895,Fondue,3
11920,American (New),13
11920,Wine Bars,3
11920,Vegetarian,6
11920,Sushi Bars,15
11920,Vegan,15
11920,Pubs,5
11920,Irish,4
11920,Breweries,4
11920,African,3
11920,Ethiopian,3
11998,American (New),25
11998,Wine Bars,15
11998,Vegetarian,1
11998,Sushi Bars,3
11998,Latin American,3
11998,Vegan,3
11998,Pubs,4
11998,British,3
11998,Irish,3
11998,Breweries,1
11998,African,3
11998,Southern,1
11998,Ethiopian,3
12521,American (New),29
12521,Wine Bars,9
12521,Vegetarian,15
12521,Sushi Bars,6
12521,Latin American,2
12521,Pubs,3
12521,British,3
12521,Irish,3
12521,Breweries,3
12521,Airports,6
12521,Tapas/Small Plates,1
12564,American (New),17
12564,German,3
12564,Wine Bars,3
12564,Vegetarian,5
12564,Soul Food,3
12564,Sushi Bars,7
12564,Latin American,1
12564,Vegan,1
12564,Pubs,6
12564,Irish,3
12564,Gastropubs,1
12564,Breweries,3
12564,Southern,3
12564,Tapas/Small Plates,3
12564,Scandinavian,3
12564,Food Court,1
12891,American (New),45
12891,Wine Bars,9
12891,Vegetarian,10
12891,Soul Food,3
12891,Sushi Bars,17
12891,Latin American,3
12891,Pubs,15
12891,British,1
12891,Breweries,12
12891,Southern,6
12891,Modern European,3
12891,Tapas/Small Plates,1
12891,Brasseries,1
13101,American (New),23
13101,German,3
13101,Wine Bars,9
13101,Vegetarian,9
13101,Vegan,9
13101,Pubs,15
13101,British,3
13101,Irish,3
13101,Breweries,4
13101,Airports,3
13101,Scandinavian,3
13144,American (New),29
13144,German,1
13144,Wine Bars,11
13144,Vegetarian,6
13144,Sushi Bars,6
13144,Latin American,3
13144,Vegan,6
13144,Pubs,17
13144,British,1
13144,Brazilian,3
13144,Irish,9
13144,Gastropubs,4
13144,Breweries,6
13220,American (New),23
13220,Wine Bars,3
13220,Vegetarian,9
13220,Soul Food,3
13220,Sushi Bars,2
13220,Pubs,6
13220,British,3
13220,Zoos,3
13220,Irish,3
13220,Southern,3
13220,Scandinavian,3
13249,American (New),21
13249,Wine Bars,13
13249,Vegetarian,9
13249,Soul Food,1
13249,Sushi Bars,19
13249,Latin American,15
13249,Pubs,4
13249,British,3
13249,Climbing,3
13249,Brazilian,3
13249,Breweries,4
13249,Southern,1
13249,Airports,3
13249,Modern European,3
13249,Piano Bars,3
13249,Fondue,3
13431,American (New),13
13431,Wine Bars,6
13431,Soul Food,3
13431,Sushi Bars,8
13431,Latin American,3
13431,Pubs,6
13431,Szechuan,3
13431,Irish,3
13431,Gastropubs,3
13431,Southern,3
13431,Airports,1
13557,American (New),41
13557,Wine Bars,11
13557,Vegetarian,8
13557,Sushi Bars,19
13557,Latin American,3
13557,Vegan,6
13557,Pubs,29
13557,British,9
13557,Climbing,3
13557,Botanical Gardens,3
13557,Zoos,1
13557,Irish,15
13557,Gastropubs,3
13557,Breweries,9
13557,African,3
13557,Ethiopian,3
13557,Tapas/Small Plates,1
14379,American (New),25
14379,German,1
14379,Wine Bars,7
14379,Vegetarian,4
14379,Sushi Bars,1
14379,Vegan,6
14379,Pubs,13
14379,British,2
14379,Irish,3
14379,Gastropubs,6
14379,Breweries,17
14379,Fondue,3
14379,Scandinavian,6
14454,American (New),37
14454,Wine Bars,17
14454,Vegetarian,6
14454,Soul Food,3
14454,Sushi Bars,9
14454,Latin American,1
14454,Vegan,3
14454,Pubs,9
14454,British,6
14454,Gastropubs,3
14454,Breweries,3
14454,Southern,4
14454,Tapas/Small Plates,3
14463,American (New),25
14463,Wine Bars,4
14463,Vegetarian,7
14463,Latin American,5
14463,Vegan,8
14463,Pubs,3
14463,Gastropubs,3
14463,Breweries,1
14463,Modern European,3
14463,Tapas/Small Plates,1
14770,American (New),19
14770,Wine Bars,1
14770,Vegetarian,3
14770,Sushi Bars,1
14770,Pubs,4
14770,British,3
14770,Climbing,3
14770,Szechuan,1
14770,Breweries,2
14770,Southern,1
15273,American (New),19
15273,Wine Bars,3
15273,Vegetarian,4
15273,Sushi Bars,4
15273,Latin American,6
15273,Pubs,13
15273,Botanical Gardens,3
15273,Irish,7
15273,Gastropubs,3
15273,Breweries,3
15329,American (New),29
15329,Wine Bars,7
15329,Vegetarian,27
15329,Soul Food,1
15329,Sushi Bars,9
15329,Vegan,25
15329,Pubs,3
15329,British,3
15329,Gastropubs,3
15329,African,3
15329,Southern,1
15329,Ethiopian,3
15329,Cambodian,3
15329,Tapas/Small Plates,3
15542,American (New),17
15542,Wine Bars,5
15542,Vegetarian,12
15542,Sushi Bars,15
15542,Vegan,3
15542,Pubs,10
15542,Szechuan,3
15542,Irish,6
15542,Breweries,4
15542,Piano Bars,1
15542,Fondue,3
16086,American (New),15
16086,Wine Bars,3
16086,Sushi Bars,1
16086,Latin American,3
16086,Pubs,3
16086,Zoos,3
16086,Irish,3
16086,Breweries,3
16086,Southern,1
16086,Airports,3
16086,Fondue,3
16185,American (New),33
16185,Wine Bars,6
16185,Sushi Bars,6
16185,Latin American,1
16185,Pubs,10
16185,Climbing,3
16185,Brazilian,1
16185,Gastropubs,6
16185,Breweries,1
16185,Ethiopian,3
16185,Fondue,3
16185,Cambodian,1
16185,Food Court,1
16736,American (New),15
16736,Vegetarian,6
16736,Soul Food,1
16736,Sushi Bars,3
16736,Latin American,3
16736,Vegan,3
16736,Pubs,7
16736,Szechuan,1
16736,Irish,2
16736,Southern,3
16736,Piano Bars,1
16810,American (New),45
16810,Wine Bars,9
16810,Vegetarian,4
16810,Soul Food,3
16810,Sushi Bars,13
16810,Vegan,3
16810,Pubs,7
16810,Botanical Gardens,1
16810,Zoos,1
16810,Irish,4
16810,Southern,4
16810,Airports,3
16936,American (New),21
16936,German,3
16936,Wine Bars,12
16936,Vegetarian,3
16936,Soul Food,3
16936,Sushi Bars,11
16936,Pubs,6
16936,British,3
16936,Brazilian,1
16936,Breweries,6
16936,Southern,6
